title,genre,desc
Dark,Crime,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
Guillermo del Toro's Pinocchio,Animation,A darker version of the classic children's fairy tale of a wooden puppet that transforms into a real living boy.
Sex Education,Comedy,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.
The Lord of the Rings: The Return of the King,Action,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
The Vampire Diaries,Drama,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers."
Virgin River,Drama,"Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds."
Family Guy,Animation,"In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another."
Fargo,Crime,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota."
Animal Kingdom,Crime,"Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities."
Diario de un Gigoló,Drama,A gigolo's life begins to unravel when he becomes involved in a client's family affairs and violates the fundamental rule of his job: don't fall in love.
How I Met Your Mother,Comedy,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.
The School for Good and Evil,Action,Best friends Sophie and Agatha find themselves on opposing sides of an epic battle when they're swept away into an enchanted school where aspiring heroes and villains are trained to protect the balance between Good and Evil.
Heartbreak High,Drama,"A fresh look at Hartley High over 20 years on. With her new friends - outsiders Quinni and Darren - Amerie must repair her reputation, while navigating love, sex, and heartbreak."
Wednesday,Comedy,"Follows Wednesday Addams' years as a student, when she attempts to master her emerging psychic ability, thwart and solve the mystery that embroiled her parents."
Community,Comedy,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.
Daredevil,Action,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Blue Bloods,Crime,Revolves around a family of New York cops.
Bee and PuppyCat,Animation,"Bee, an unemployed woman is living a normal life, until a grumpy companion named PuppyCat arrives. Follow Bee and and PuppyCat as they travel between reality and ""Fishbowl Space""."
Loving Adults,Crime,Follows a couple who appear to be living the perfect life after their son is declared healthy following a long-term illness.
Schitt's Creek,Comedy,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues."
Sing 2,Animation,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.
RRR,Action,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in 1920s.
Arcane,Animation,"Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart."
The Lørenskog Disappearance,Documentary,What happened to Anne-Elisabeth Hagen? Where is she? Was she kidnapped by money launderers or is it her husband who may have made her disappear?
The Lord of the Rings: The Two Towers,Action,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
All Quiet on the Western Front,Action,A young German soldier's terrifying experiences and distress on the western front during World War I.
Mr. Harrigan's Phone,Horror,"When Mr. Harrigan dies, the teen who befriended and did odd jobs for him, puts his smart phone in his pocket before burial and when the lonely youth leaves his dead friend a message, he is shocked to get a return text."
American Psycho,Crime,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
The Hobbit: An Unexpected Journey,Adventure,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
Kleo,Action,"After the fall of the Berlin Wall, a former spy killer is set free and embarks on a revenge spree against the people who conspired to betray her."
Riverdale,Crime,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries."
Sons of Anarchy,Crime,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.
Mad Men,Drama,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper."
The Flash,Action,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, and fighting crime in Central City."
Archer,Animation,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.
Dahmer - Monster: The Jeffrey Dahmer Story,Biography,Story of the Milwaukee Monster told from the perspective of the victims and police incompetency that allowed the Wisconsin native to go on a multiyear killing spree.
Mr. Robot,Crime,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for."
That '70s Show,Comedy,"A comedy revolving around a group of teenage friends, their mishaps, and their coming of age, set in 1970s Wisconsin."
You,Crime,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by."
Look Both Ways,Comedy,"On the eve of her college graduation, Natalie's life diverges into parallel realities: one in which she becomes pregnant and remains in her hometown to raise her child and another in which she moves to LA to pursue her dream career."
365 Days,Drama,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him."
I Used to Be Famous,Comedy,"Follows Vince, a desperate former popstar who dreams of making a comeback. An impromptu jam session with autistic young drummer Stevie sparks an unexpected friendship between the two misunderstood musicians."
Titanic,Drama,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
Bridgerton,Drama,"Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family."
Sherlock,Crime,A modern update finds the famous sleuth and his doctor partner solving crime in 21st-century London.
Dexter,Crime,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series."
New Girl,Comedy,"After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time."
The Expanse,Drama,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente."
Purple Hearts,Drama,"In spite of their many differences, Cassie, a struggling singer-songwriter, and Luke, a troubled Marine, agree to marry solely for military benefits. But when tragedy strikes, the line between real and pretend begins to blur."
The Gentlemen,Action,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
The Good Doctor,Drama,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital."
Downton Abbey,Drama,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.
Extraordinary Attorney Woo,Drama,"About an autistic 27-year-old lawyer. Due to her high IQ of 164, impressive memory, and creative thought process, the brilliant Woo Young Woo graduated at the top of her class from a prestigious law school."
Smallville,Action,"A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas."
Star Trek: The Next Generation,Action,"Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before."
BoJack Horseman,Animation,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters."
"Love, Death & Robots",Animation,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
Money Heist,Action,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.
Orange Is the New Black,Comedy,"Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be."
Jurassic Park,Action,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
Prison Break,Action,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside."
Billions,Drama,"New money means no mercy as Mike Prince takes the Axe Capital throne. Chuck Rhoades is convinced no one should have that much wealth - or power. As all the players seek out new alliances, only one thing's for certain - wealth means war."
Once Upon a Time,Adventure,A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.
Titans,Action,A team of young superheroes combat evil and other perils.
The 100,Drama,"Set 97 years after a nuclear war destroyed civilization, when a spaceship housing humanity's lone survivors sends 100 juvenile delinquents back to Earth, hoping to repopulate the planet."
Jaws,Adventure,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
The Catholic School,Drama,"In late September 1975, a renowned Catholic school in Rome for sheltered, upper-middle-class boys is attacked in what became known as the Circeo Massacre. The film examines what triggered the violence."
South Park,Animation,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado."
Spartacus,Action,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome."
Clueless,Comedy,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other."
Chesapeake Shores,Drama,"A young woman returns to her hometown to help save her sister's failing inn, where she contends with memories and faces from her past."
Demon Slayer: Kimetsu no Yaiba,Animation,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister."
The Queen's Gambit,Drama,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price."
Pretty Little Liars,Drama,"Four friends band together against an anonymous foe who threatens to reveal their darkest secrets, while also investigating the disappearance of their best friend."
Mindhunter,Crime,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases."
"Murder, She Wrote",Crime,"Professional writer and amateur sleuth Jessica Fletcher uses her intellect, charm, and persistence to get to the bottom of every crime she encounters."
From,Drama,"Unravel the mystery of a city in middle U.S.A. that imprisons everyone who enters. As the residents struggle to maintain a sense of normalcy and seek a way out, they must also survive the threats of the surrounding forest."
Spiderhead,Action,"In the near future, convicts are offered the chance to volunteer as medical subjects to shorten their sentence. One such subject for a new drug capable of generating feelings of love begins questioning the reality of his emotions."
CSI: Crime Scene Investigation,Crime,Series following an elite team of police forensic evidence investigation experts as they work their cases in Las Vegas.
Evil,Crime,"A skeptical clinical psychologist joins a priest-in-training and a blue collar contractor as they investigate supposed abnormal events, including, demonic possession, and other extraordinary occurrences to see if there's a scientific explanation or if something truly supernatural's at work."
The Lincoln Lawyer,Crime,An iconoclastic idealist runs his law practice out of the back of his Lincoln Town Car in this series based on Michael Connelly's bestselling novels.
Arrested Development,Comedy,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
Heartland,Drama,"A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times."
Mo,Comedy,"Mo Najjar who straddles the line between two cultures, three languages and ""a ton of bullshit."" The fictional Mo is a Palestinian refugee living one step away from asylum on the path to U.S. citizenship."
Inventing Anna,Drama,"A journalist with a lot to prove investigates the case of Anna Delvey, the Instagram-legendary German heiress who stole the hearts of New York's social scene - and stole their money as well."
It,Horror,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town."
Narcos,Biography,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years."
The Sinner,Crime,Anthology series that examines how and why ordinary people commit brutal crimes.
Homeland,Crime,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.
The Haunting of Hill House,Drama,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it."
Doc Martin,Comedy,"The trials and tribulations of Dr. Martin Ellingham, who moves from London to the picturesque village of Portwenn in Cornwall."
Hawaii Five-0,Action,"When Steve McGarrett returns home to Oahu to find his father's killer, the Governor offers him the chance to run his own task force: Five-0."
Star Trek: The Original Series,Action,"In the 23rd Century, Captain James T. Kirk and the crew of the U.S.S. Enterprise explore the galaxy and defend the United Federation of Planets."
The Next 365 Days,Drama,Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues and jealousy while a tenacious Nacho works to push them apart.
Don't Look Up,Comedy,Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.
Murdoch Mysteries,Crime,"In the 1890s, William Murdoch uses radical forensic techniques for the time, including fingerprinting and trace evidence, to solve some of the city's most gruesome murders."
The Good Wife,Crime,"Alicia Florrick has been a good wife to her husband, a former state's attorney. After a very humiliating sex and corruption scandal, he is behind bars. She must now provide for her family and returns to work as a litigator in a law firm."
Shadow and Bone,Action,Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.
Sex/Life,Comedy,A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild-child past.
Gladiator,Action,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
The Punisher,Action,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them."
Midnight Mass,Drama,"An isolated island community experiences miraculous events - and frightening omens - after the arrival of a charismatic, mysterious young priest."
"Roswell, New Mexico",Drama,"Centers on a town where aliens with unearthly abilities live undercover among humans. But when a violent attack points to a greater alien presence, the politics of fear and hatred threaten to expose them."
Taxi Driver,Crime,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
Teen Wolf,Action,An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.
Vikings: Valhalla,Action,"Follow-up series to 'Vikings' set 100 years afterward and centering on the adventures of Leif Erikson, Freydis, Harald Hardrada and the Norman King William the Conqueror."
New Amsterdam,Drama,A new medical director breaks the rules to heal the system at America's oldest public hospital.
Léon: The Professional,Action,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
Arrow,Action,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow."
The Good Nurse,Biography,An infamous caregiver is implicated in the deaths of hundreds of hospital patients.
The Good Place,Comedy,Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.
Agents of S.H.I.E.L.D.,Action,"The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division."
Mother!,Drama,"A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence."
Hustle,Comedy,A basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA.
Terim,Documentary,"Legendary manager Fatih Terim recounts his football journey, from his playing days to coaching and leading several teams to championship glory."
365 Days: This Day,Drama,Laura and Massimo are back and stronger than ever. But Massimo's family ties and a mysterious man bidding for Laura's heart complicate the lovers' lives.
Cheers,Comedy,"The regulars of the Boston bar ""Cheers"" share their experiences and lives with each other while drinking or working at the bar where everybody knows your name."
Line of Duty,Crime,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit."
Pieces of Her,Crime,"On her 30th birthday out for lunch with her mother suddenly explodes into violence, an adrift young woman's conception of her mother is forever changed."
The Departed,Crime,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Star Wars: The Clone Wars,Animation,Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.
Star Trek: Deep Space Nine,Action,"In the vicinity of the liberated planet of Bajor, the Federation space station Deep Space Nine guards the opening of a stable wormhole to the far side of the galaxy."
Spider-Man,Action,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy."
Santo,Action,"Santo is a drug dealer whose face has never been revealed. Two policemen who go after him, Millán and Cardona, radically opposed, will have to learn to collaborate to solve the case and keep their lives safe."
Delhi Crime,Crime,"Based on the Nirbhaya case, Delhi Crime follows the Delhi Police investigation into the finding of the men who perpetrated this crime."
JoJo's Bizarre Adventure,Animation,"The story of the Joestar family, who are possessed with intense psychic strength, and the adventures each member encounters throughout their lives."
House of Cards,Drama,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.
American Crime Story,Biography,An anthology series centered around America's most notorious crimes and criminals.
Beauty and the Beast,Adventure,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner."
Dynasty,Drama,Follows two of America's wealthiest families as they feud for control over their fortune and their children.
Glee,Comedy,A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate Spanish teacher.
Brooklyn,Drama,"An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within."
The Americans,Crime,"At the height of the Cold War, two Russian agents pose as the average American couple, complete with family."
Gotham,Action,The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.
Gossip Girl,Drama,Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.
Gone Girl,Drama,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
The Tudors,Drama,A dramatic series about the reign and marriages of King Henry VIII.
Twin Peaks,Crime,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.
The Poison Rose,Crime,"Inspired by classic film noir, Carson Phillips, an ex-football star turned PI, has a soft spot for a lady in distress."
Avatar: The Last Airbender,Animation,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
Hannibal,Crime,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.
Star Trek: Voyager,Action,"Pulled to the far side of the galaxy, where the Federation is seventy-five years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home."
NCIS: Los Angeles,Action,"The Naval Criminal Investigation Service's Office of Special Projects takes on the undercover work and the hard to crack cases in LA. Key agents are G. Callen and Sam Hanna, streets kids risen through the ranks."
Persuasion,Drama,"Eight years after Anne Elliot was persuaded not to marry a dashing man of humble origins, they meet again. Will she seize her second chance at true love?"
Good Girls,Comedy,Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take back their power.
Dated and Related,Reality-TV,Pairs of siblings see each other's love life up close and personal as they search for 'the one' together. Will they act as the ultimate wingman to help you find love? Or scupper your plans?
Jogi,Drama,"Amid tension in 1980s India, three friends of different faiths unite in a noble yet dangerous effort to save hundreds in their town."
How to Get Away with Murder,Crime,A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.
Uncoupled,Comedy,"Michael's life seemed to be perfect, until his long time partner blindsided him after 17 years of being in long time relationship. He has to confront the nightmares of losing his soulmate and suddenly finding himself as a single gay man in his mid-40s."
Longmire,Action,"Walt Longmire is the dedicated and unflappable sheriff of Absaroka County, Wyoming. Widowed only a year, he is a man in psychic repair but buries his pain behind his brave face, unassuming grin and dry wit."
The Anthrax Attacks,Documentary,"Days after 9/11, letters containing fatal anthrax spores spark panic and tragedy in the US. This documentary follows the subsequent FBI investigation."
White Collar,Comedy,"A white-collar criminal agrees to help the FBI catch other white-collar criminals using his expertise as an art and securities thief, counterfeiter, and conman."
White Noise,Comedy,"White Noise dramatizes a contemporary American family's attempts to deal with the mundane conflicts of everyday life while grappling with the universal mysteries of love, death, and the possibility of happiness in an uncertain world."
After Life,Comedy,"After Tony's wife dies, his nice-guy persona is altered into an impulsive, devil-may-care attitude that takes his old world by storm."
Outer Banks,Action,A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long-buried secret.
Luckiest Girl Alive,Drama,"A woman in New York, who seems to have things under control, is faced with a trauma that makes her life unravel."
Derry Girls,Comedy,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s.
El Camino: A Breaking Bad Movie,Action,"Fugitive Jesse Pinkman runs from his captors, the law, and his past."
Anatomy of a Scandal,Drama,A sexual consent scandal amongst British privileged elite and the women caught up in its wake.
A Knight's Tale,Action,"After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight."
